Out time,Hours,Pay Code,Notes,Weekday
8/1/2020,,,,Saturday
7/31/2020,,,,Friday
7/30/2020,9,SPECIALTIME,,Thursday
7/29/2020,2.48,,,Wednesday
7/29/2020,5.13,,,Wednesday
7/28/2020,3.78,,,Tuesday
7/28/2020,4.32,,,Tuesday
7/27/2020,2.87,,,Monday
7/27/2020,5.15,,,Monday
7/25/2020,0,,,Saturday
7/24/2020,2.55,,,Friday
7/24/2020,5.45,,,Friday
7/23/2020,3.7,,,Thursday
7/23/2020,4.12,,,Thursday
7/22/2020,6.08,,,Wednesday
7/21/2020,3.72,,,Tuesday
7/21/2020,4.3,,,Tuesday
7/20/2020,3.68,,,Monday
7/20/2020,4.33,,,Monday
7/18/2020,4.17,,,Saturday
7/17/2020,3,PTO,,Friday
7/16/2020,4.13,,,Thursday
7/16/2020,5.13,,,Thursday
7/15/2020,3.75,,,Wednesday
7/15/2020,4.13,,,Wednesday
7/14/2020,3.2,,,Tuesday
7/14/2020,4.73,,,Tuesday
7/13/2020,2.98,,,Monday
7/13/2020,4.97,,,Monday
7/11/2020,0,,,Saturday
7/10/2020,3.77,,,Friday
7/10/2020,4.22,,,Friday
7/9/2020,3.22,,,Thursday
7/9/2020,4.65,,,Thursday
7/8/2020,2.77,,,Wednesday
7/8/2020,5.23,,,Wednesday
7/7/2020,2.98,,,Tuesday
7/7/2020,4.92,,,Tuesday
7/6/2020,2.52,,,Monday
7/6/2020,5.43,,,Monday
7/4/2020,0,,,Saturday
7/3/2020,2.72,,,Friday
7/3/2020,5.12,,,Friday
7/2/2020,3.22,,,Thursday
7/2/2020,4.67,,,Thursday
7/1/2020,3.27,,,Wednesday
7/1/2020,4.68,,,Wednesday
6/30/2020,3.77,,,Tuesday
6/30/2020,4.2,,,Tuesday
6/29/2020,3.75,,,Monday
6/29/2020,4.22,,,Monday
6/27/2020,4.08,,,Saturday
6/26/2020,3.18,,,Friday
6/26/2020,4.77,,,Friday
6/25/2020,4.2,,,Thursday
6/24/2020,4.2,,,Wednesday
6/24/2020,3.77,,,Wednesday
6/23/2020,3.75,,,Tuesday
6/23/2020,4.1,,,Tuesday
6/22/2020,2.55,,,Monday
6/22/2020,5.38,,,Monday
6/20/2020,0,,,Saturday
6/19/2020,1.22,SPECIALTIME,,Friday
6/19/2020,2.27,,,Friday
6/19/2020,4.23,,,Friday
6/18/2020,8.43,,,Thursday
6/17/2020,2.22,,,Wednesday
6/17/2020,5.68,,,Wednesday
6/16/2020,3.73,,,Tuesday
6/16/2020,4.35,,,Tuesday
6/15/2020,2.17,,,Monday
6/15/2020,5.63,,,Monday
6/13/2020,3.72,,,Saturday
6/12/2020,3,,,Friday
6/12/2020,4.53,,,Friday
6/11/2020,6.02,,,Thursday
6/10/2020,3.52,,,Wednesday
6/10/2020,4.07,,,Wednesday
6/9/2020,3.5,,,Tuesday
6/9/2020,4.03,,,Tuesday
6/8/2020,3.52,,,Monday
6/8/2020,4.1,,,Monday
6/6/2020,4,,,Saturday
6/5/2020,7,PTO,,Friday
6/4/2020,7.07,,,Thursday
6/3/2020,7.05,,,Wednesday
6/2/2020,7.08,,,Tuesday
6/1/2020,6.97,,,Monday
5/30/2020,4.03,,,Saturday
5/29/2020,7.05,,,Friday
5/28/2020,7.17,,,Thursday
5/27/2020,7.15,,,Wednesday
5/26/2020,8,PTO,,Tuesday
5/25/2020,8,HOLDAY,,Monday
5/23/2020,2.75,SPECIALTIME,,Saturday
5/22/2020,7.05,,,Friday
5/21/2020,8,SPECIALTIME,,Thursday
5/20/2020,7.07,,,Wednesday
5/19/2020,8,SPECIALTIME,,Tuesday
5/18/2020,7.07,,,Monday
5/16/2020,2.25,SPECIALTIME,,Saturday
5/15/2020,7.12,,,Friday
5/14/2020,8,SPECIALTIME,,Thursday
5/13/2020,7.32,,,Wednesday
5/12/2020,8,SPECIALTIME,,Tuesday
5/11/2020,7.25,,,Monday
5/9/2020,2,SPECIALTIME,,Saturday
5/8/2020,7.33,,,Friday
5/7/2020,8,SPECIALTIME,,Thursday
5/6/2020,7.33,,,Wednesday
5/5/2020,8,SPECIALTIME,,Tuesday
5/4/2020,7.33,,,Monday
5/2/2020,2.17,SPECIALTIME,,Saturday
5/1/2020,7.35,,,Friday
4/30/2020,8,SPECIALTIME,,Thursday
4/29/2020,7.17,,,Wednesday
4/28/2020,8,SPECIALTIME,,Tuesday
4/27/2020,7.32,,,Monday
4/25/2020,0,,,Saturday
4/24/2020,8,SPECIALTIME,,Friday
4/23/2020,8,SPECIALTIME,,Thursday
4/22/2020,8,SPECIALTIME,,Wednesday
4/21/2020,8,SPECIALTIME,,Tuesday
4/20/2020,8,SPECIALTIME,,Monday
4/18/2020,4.2,,,Saturday
4/17/2020,7.15,,,Friday
4/16/2020,7.23,,,Thursday
4/15/2020,7.2,,,Wednesday
4/14/2020,7.2,,,Tuesday
4/13/2020,7.08,,,Monday
4/11/2020,0,,,Saturday
4/10/2020,8,SPECIALTIME,,Friday
4/9/2020,8,SPECIALTIME,,Thursday
4/8/2020,8,SPECIALTIME,,Wednesday
4/7/2020,8,SPECIALTIME,,Tuesday
4/6/2020,8,SPECIALTIME,,Monday
4/4/2020,0,,,Saturday
4/3/2020,8.1,,,Friday
4/2/2020,8,SPECIALTIME,,Thursday
4/1/2020,8.28,,,Wednesday
3/31/2020,8.25,,,Tuesday
3/30/2020,7.23,,,Monday
3/28/2020,3.78,,,Saturday
3/27/2020,8,SPECIALTIME,,Friday
3/26/2020,7.12,,,Thursday
3/25/2020,8,SPECIALTIME,,Wednesday
3/24/2020,7.22,,,Tuesday
3/23/2020,5.83,SPECIALTIME,,Monday
3/21/2020,4.57,,,Saturday
3/20/2020,8,SPECIALTIME,,Friday
3/19/2020,8,SPECIALTIME,,Thursday
3/18/2020,0,,,Wednesday
3/17/2020,2.3,,,Tuesday
3/17/2020,5.55,,,Tuesday
3/16/2020,2.63,,,Monday
3/16/2020,5.4,,,Monday
3/14/2020,4.48,,,Saturday
3/13/2020,8,PTO,,Friday
3/12/2020,4.12,,,Thursday
3/12/2020,5.28,,,Thursday
3/11/2020,0,,,Wednesday
3/10/2020,8.53,,,Tuesday
3/9/2020,3.43,,,Monday
3/9/2020,4.45,,,Monday
3/7/2020,0,,,Saturday
3/6/2020,2.67,,,Friday
3/6/2020,5.32,,,Friday
3/5/2020,4.08,,,Thursday
3/5/2020,5.25,,,Thursday
3/4/2020,8.57,,,Wednesday
3/3/2020,3.87,,,Tuesday
3/3/2020,3.97,,,Tuesday
3/2/2020,6.67,,,Monday
